"|","|__name","|__party","|__rank","|__title","|__thomas","|__bioguide","|__chamber"
"HLIG","Devin Nunes","majority","1","Chair","01710","N000181",""
"","K. Michael Conaway","majority","2","","01805","C001062",""
"","Peter T. King","majority","3","","00635","K000210",""
"","Frank A. LoBiondo","majority","4","","00699","L000554",""
"","Thomas J. Rooney","majority","5","","01916","R000583",""
"","Ileana Ros-Lehtinen","majority","6","","00985","R000435",""
"","Michael R. Turner","majority","7","","01741","T000463",""
"","Brad R. Wenstrup","majority","8","","02152","W000815",""
"","Chris Stewart","majority","9","","02168","S001192",""
"","Eric A. ""Rick"" Crawford","majority","10","","01989","C001087",""
"","Trey Gowdy","majority","11","","02058","G000566",""
"","Elise M. Stefanik","majority","12","","02263","S001196",""
"","Will Hurd","majority","13","","02269","H001073",""
"","Adam B. Schiff","minority","1","Ranking Member","01635","S001150",""
"","James A. Himes","minority","2","","01913","H001047",""
"","Terri A. Sewell","minority","3","","01988","S001185",""
"","André Carson","minority","4","","01889","C001072",""
"","Jackie Speier","minority","5","","01890","S001175",""
"","Mike Quigley","minority","6","","01967","Q000023",""
"","Eric Swalwell","minority","7","","02104","S001193",""
"","Joaquin Castro","minority","8","","02163","C001091",""
"","Denny Heck","minority","9","","02170","H001064",""
"HLIG01","Frank A. LoBiondo","majority","1","Chair","00699","L000554",""
"","K. Michael Conaway","majority","2","","01805","C001062",""
"","Peter T. King","majority","3","","00635","K000210",""
"","Thomas J. Rooney","majority","4","","01916","R000583",""
"","Ileana Ros-Lehtinen","majority","5","","00985","R000435",""
"","Chris Stewart","majority","6","","02168","S001192",""
"","Eric Swalwell","minority","1","Ranking Member","02104","S001193",""
"","James A. Himes","minority","2","","01913","H001047",""
"","Joaquin Castro","minority","3","","02163","C001091",""
"","Denny Heck","minority","4","","02170","H001064",""
"HLIG02","Thomas J. Rooney","majority","1","Chair","01916","R000583",""
"","K. Michael Conaway","majority","2","","01805","C001062",""
"","Ileana Ros-Lehtinen","majority","3","","00985","R000435",""
"","Michael R. Turner","majority","4","","01741","T000463",""
"","Trey Gowdy","majority","5","","02058","G000566",""
"","Elise M. Stefanik","majority","6","","02263","S001196",""
"","James A. Himes","minority","1","Ranking Member","01913","H001047",""
"","Terri A. Sewell","minority","2","","01988","S001185",""
"","Jackie Speier","minority","3","","01890","S001175",""
"","Mike Quigley","minority","4","","01967","Q000023",""
"HLIG03","Peter T. King","majority","1","Chair","00635","K000210",""
"","Frank A. LoBiondo","majority","2","","00699","L000554",""
"","Brad R. Wenstrup","majority","3","","02152","W000815",""
"","Eric A. ""Rick"" Crawford","majority","4","","01989","C001087",""
"","Trey Gowdy","majority","5","","02058","G000566",""
"","Will Hurd","majority","6","","02269","H001073",""
"","André Carson","minority","1","Ranking Member","01889","C001072",""
"","Jackie Speier","minority","2","","01890","S001175",""
"","Mike Quigley","minority","3","","01967","Q000023",""
"","Eric Swalwell","minority","4","","02104","S001193",""
"HLIG04","Chris Stewart","majority","1","Chair","02168","S001192",""
"","Michael R. Turner","majority","2","","01741","T000463",""
"","Brad R. Wenstrup","majority","3","","02152","W000815",""
"","Eric A. ""Rick"" Crawford","majority","4","","01989","C001087",""
"","Elise M. Stefanik","majority","5","","02263","S001196",""
"","Will Hurd","majority","6","","02269","H001073",""
"","Terri A. Sewell","minority","1","Ranking Member","01988","S001185",""
"","André Carson","minority","2","","01889","C001072",""
"","Joaquin Castro","minority","3","","02163","C001091",""
"","Denny Heck","minority","4","","02170","H001064",""
"HSAG","K. Michael Conaway","majority","1","Chair","01805","C001062",""
"","Bob Goodlatte","majority","2","","00446","G000289",""
"","Frank D. Lucas","majority","3","","00711","L000491",""
"","Steve King","majority","4","","01724","K000362",""
"","Mike Rogers","majority","5","","01704","R000575",""
"","Glenn Thompson","majority","6","","01952","T000467",""
"","Bob Gibbs","majority","7","","02049","G000563",""
"","Austin Scott","majority","8","","02009","S001189",""
"","Eric A. ""Rick"" Crawford","majority","9","","01989","C001087",""
